ElapsedSec,ALT,Pres
9.75,-29.04,101674.33
9.82,-29.04,101674.33
9.88,-29.04,101674.33
9.95,-29.04,101674.33
10.02,-29.04,101674.33
10.08,-29.04,101674.33
10.15,-29.04,101674.33
10.22,-29.04,101674.33
10.28,-29.04,101674.33
10.35,-29.04,101674.33
10.42,-29.04,101674.33
10.48,-29.04,101674.33
10.55,-29.04,101674.33
10.62,-29.04,101674.33
10.68,-29.04,101674.33
10.75,-29.04,101674.33
10.82,-29.04,101674.33
10.89,-29.04,101674.33
10.96,-29.04,101674.33
11.02,-29.04,101674.33
11.09,-29.04,101674.33
11.16,-29.04,101674.33
11.22,-29.04,101674.33
11.29,-29.04,101674.33
11.35,-29.04,101674.33
11.42,-29.04,101674.33
11.49,-29.04,101674.33
11.55,-29.04,101674.33
11.62,-29.04,101674.33
11.68,-29.04,101674.33
11.75,-29.04,101674.33
11.82,-29.04,101674.33
11.88,-29.04,101674.33
11.95,-29.04,101674.33
12.02,-29.04,101674.33
12.08,-29.04,101674.33
12.15,-29.04,101674.33
12.21,-29.04,101674.33
12.28,-29.04,101674.33
12.35,-29.04,101674.33
12.41,-29.04,101674.33
12.48,-29.04,101674.33
12.54,-29.04,101674.33
12.61,-29.04,101674.33
12.67,-29.04,101674.33
12.74,-29.04,101674.33
12.81,-29.04,101674.33
12.87,-29.04,101674.33
12.94,-29.04,101674.33
13.01,-29.04,101674.33
13.1,-29.04,101674.33
13.16,-29.04,101674.33
13.23,-29.04,101674.33
13.3,-29.04,101674.33
13.36,-29.04,101674.33
13.43,-29.04,101674.33
13.5,-29.04,101674.33
13.56,-29.04,101674.33
13.63,-29.04,101674.33
13.69,-29.04,101674.33
13.76,-29.04,101674.33
13.83,-29.04,101674.33
13.89,-29.04,101674.33
13.96,-29.04,101674.33
14.04,-29.04,101674.33
14.1,-29.04,101674.33
14.17,-29.04,101674.33
14.24,-29.04,101674.33
14.3,-29.04,101674.33
14.37,-29.04,101674.33
14.44,-29.04,101674.33
14.5,-29.04,101674.33
14.57,-29.04,101674.33
14.63,-29.04,101674.33
14.7,-29.04,101674.33
14.77,-29.04,101674.33
14.83,-29.04,101674.33
14.9,-29.04,101674.33
14.97,-29.04,101674.33
15.03,-29.04,101674.33
15.1,-29.04,101674.33
15.17,-29.04,101674.33
15.23,-29.04,101674.33
15.3,-29.04,101674.33
15.37,-29.04,101674.33
15.43,-29.04,101674.33
15.5,-29.04,101674.33
15.57,-29.04,101674.33
15.63,-29.04,101674.33
15.7,-29.04,101674.33
15.77,-29.04,101674.33
15.83,-29.04,101674.33
15.9,-29.04,101674.33
15.97,-29.04,101674.33
16.03,-29.04,101674.33
16.1,-29.04,101674.33
16.16,-29.04,101674.33
16.23,-29.04,101674.33
16.3,-29.04,101674.33
16.37,-29.04,101674.33
16.43,-29.04,101674.33
16.5,-29.04,101674.33
16.56,-29.04,101674.33
16.63,-29.04,101674.33
16.7,-29.04,101674.33
16.76,-29.04,101674.33
16.83,-29.04,101674.33
16.9,-29.04,101674.33
16.96,-29.04,101674.33
17.03,-29.04,101674.33
17.1,-29.04,101674.33
17.17,-29.04,101674.33
17.24,-29.04,101674.33
17.31,-29.04,101674.33
17.37,-29.04,101674.33
17.44,-29.04,101674.33
17.5,-29.04,101674.33
17.57,-29.04,101674.33
17.64,-29.04,101674.33
17.7,-29.04,101674.33
17.77,-29.04,101674.33
17.83,-29.04,101674.33
17.9,-29.04,101674.33
17.97,-29.04,101674.33
18.03,-29.04,101674.33
18.1,-29.04,101674.33
18.16,-29.04,101674.33
18.23,-29.04,101674.33
18.3,-29.04,101674.33
18.36,-29.04,101674.33
18.43,-29.04,101674.33
18.5,-29.04,101674.33
18.56,-29.04,101674.33
18.63,-29.04,101674.33
18.69,-29.04,101674.33
18.76,-29.04,101674.33
18.83,-29.04,101674.33
18.89,-29.04,101674.33
18.96,-29.04,101674.33
19.02,-29.04,101674.33
19.09,-29.04,101674.33
19.16,-29.04,101674.33
19.22,-29.04,101674.33
19.29,-29.04,101674.33
19.35,-29.04,101674.33
19.42,-29.04,101674.33
19.49,-29.04,101674.33
19.55,-29.04,101674.33
19.62,-29.04,101674.33
19.69,-29.04,101674.33
19.75,-29.04,101674.33
19.82,-29.04,101674.33
19.88,-29.04,101674.33
19.95,-29.04,101674.33
20.02,-29.04,101674.33
20.08,-29.04,101674.33
20.15,-29.04,101674.33
20.22,-29.04,101674.33
20.28,-29.04,101674.33
20.35,-29.04,101674.33
20.42,-29.04,101674.33
20.48,-29.04,101674.33
20.55,-29.04,101674.33
20.61,-29.04,101674.33
20.68,-29.04,101674.33
20.75,-29.04,101674.33
20.81,-29.04,101674.33
20.88,-29.04,101674.33
20.95,-29.04,101674.33
21.01,-29.04,101674.33
21.08,-29.04,101674.33
21.15,-29.04,101674.33
21.21,-29.04,101674.33
21.28,-29.04,101674.33
21.34,-29.04,101674.33
21.41,-29.04,101674.33
21.48,-29.04,101674.33
21.54,-29.04,101674.33
21.61,-29.04,101674.33
21.68,-29.04,101674.33
21.74,-29.04,101674.33
21.81,-29.04,101674.33
21.88,-29.04,101674.33
21.94,-29.04,101674.33
22.01,-29.04,101674.33
22.08,-29.04,101674.33
22.14,-29.04,101674.33
22.21,-29.04,101674.33
22.28,-29.04,101674.33
22.34,-29.04,101674.33
22.41,-29.04,101674.33
22.48,-29.04,101674.33
22.54,-29.04,101674.33
22.61,-29.04,101674.33
22.68,-29.04,101674.33
22.74,-29.04,101674.33
22.81,-29.04,101674.33
22.88,-29.04,101674.33
22.94,-29.04,101674.33
23.01,-29.04,101674.33
23.08,-29.04,101674.33
23.14,-29.04,101674.33
23.21,-29.04,101674.33
23.28,-29.04,101674.33
23.34,-29.04,101674.33
23.41,-29.04,101674.33
23.48,-29.04,101674.33
23.54,-29.04,101674.33
23.61,-29.04,101674.33
23.68,-29.04,101674.33
23.74,-29.04,101674.33
23.81,-29.04,101674.33
23.88,-29.04,101674.33
23.95,-29.04,101674.33
24.02,-29.04,101674.33
24.08,-29.04,101674.33
24.15,-29.04,101674.33
24.21,-29.04,101674.33
24.28,-29.04,101674.33
24.35,-29.04,101674.33
24.41,-29.04,101674.33
24.48,-29.04,101674.33
24.54,-29.04,101674.33
24.61,-29.04,101674.33
24.67,-29.04,101674.33
24.74,-29.04,101674.33
24.81,-29.04,101674.33
24.87,-29.04,101674.33
24.94,-29.04,101674.33
25.01,-29.04,101674.33
25.07,-29.04,101674.33
25.15,-29.04,101674.33
25.21,-29.04,101674.33
25.28,-29.04,101674.33
25.35,-29.04,101674.33
25.41,-29.04,101674.33
25.48,-29.04,101674.33
25.54,-29.04,101674.33
25.61,-29.04,101674.33
25.67,-29.04,101674.33
25.74,-29.04,101674.33
25.81,-29.04,101674.33
25.87,-29.04,101674.33
25.94,-29.04,101674.33
26.01,-29.04,101674.33
26.07,-29.04,101674.33
26.14,-29.04,101674.33
26.2,-29.04,101674.33
26.27,-29.04,101674.33
26.34,-29.04,101674.33
26.4,-29.04,101674.33
26.47,-29.04,101674.33
26.53,-29.04,101674.33
26.6,-29.04,101674.33
26.67,-29.04,101674.33
26.73,-29.04,101674.33
26.8,-29.04,101674.33
26.86,-29.04,101674.33
26.93,-29.04,101674.33
26.99,-29.04,101674.33
27.06,-29.04,101674.33
27.13,-29.04,101674.33
27.19,-29.04,101674.33
27.26,-29.04,101674.33
27.33,-29.04,101674.33
27.39,-29.04,101674.33
27.46,-29.04,101674.33
27.52,-29.04,101674.33
27.59,-29.04,101674.33
27.66,-29.04,101674.33
27.72,-29.04,101674.33
27.79,-29.04,101674.33
27.86,-29.04,101674.33
27.92,-29.04,101674.33
27.99,-29.04,101674.33
28.05,-29.04,101674.33
28.12,-29.04,101674.33
28.19,-29.04,101674.33
28.25,-29.04,101674.33
28.32,-29.04,101674.33
28.39,-29.04,101674.33
28.45,-29.04,101674.33
28.52,-29.04,101674.33
28.59,-29.04,101674.33
28.65,-29.04,101674.33
28.72,-29.04,101674.33
28.79,-29.04,101674.33
28.85,-29.04,101674.33
28.92,-29.04,101674.33
28.99,-29.04,101674.33
29.05,-29.04,101674.33
29.12,-29.04,101674.33
29.19,-29.04,101674.33
29.25,-29.04,101674.33
29.32,-29.04,101674.33
29.39,-29.04,101674.33
29.45,-29.04,101674.33
29.52,-29.04,101674.33
29.58,-29.04,101674.33
29.65,-29.04,101674.33
29.72,-29.04,101674.33
29.78,-29.04,101674.33
29.85,-29.04,101674.33
29.92,-29.04,101674.33
29.98,-29.04,101674.33
30.05,-29.04,101674.33
30.12,-29.04,101674.33
