ElapsedSec,AccX,AccY,AccZ
21.48,-8.84,-0.45,4.15
21.54,-8.84,-0.45,4.15
21.61,-8.84,-0.45,4.15
21.68,-8.84,-0.45,4.15
21.74,-8.84,-0.45,4.15
21.81,-8.84,-0.45,4.15
21.88,-8.84,-0.45,4.15
21.94,-8.84,-0.45,4.15
22.01,-8.84,-0.45,4.15
22.08,-8.84,-0.45,4.15
22.14,-8.84,-0.45,4.15
22.21,-8.84,-0.45,4.15
22.28,-8.84,-0.45,4.15
22.34,-8.84,-0.45,4.15
22.41,-8.84,-0.45,4.15
22.48,-8.84,-0.45,4.15
22.54,-8.84,-0.45,4.15
22.61,-8.84,-0.45,4.15
22.68,-8.84,-0.45,4.15
22.74,-8.84,-0.45,4.15
22.81,-8.84,-0.45,4.15
22.88,-8.84,-0.45,4.15
22.94,-8.84,-0.45,4.15
23.01,-8.84,-0.45,4.15
23.08,-8.84,-0.45,4.15
23.14,-8.84,-0.45,4.15
23.21,-8.84,-0.45,4.15
23.28,-8.84,-0.45,4.15
23.34,-8.84,-0.45,4.15
23.41,-8.84,-0.45,4.15
23.48,-8.84,-0.45,4.15
23.54,-8.84,-0.45,4.15
23.61,-8.84,-0.45,4.15
23.68,-8.84,-0.45,4.15
23.74,-8.84,-0.45,4.15
23.81,-8.84,-0.45,4.15
23.88,-8.84,-0.45,4.15
23.95,-8.84,-0.45,4.15
24.02,-8.84,-0.45,4.15
24.08,-8.84,-0.45,4.15
24.15,-8.84,-0.45,4.15
24.21,-8.84,-0.45,4.15
24.28,-8.84,-0.45,4.15
24.35,-8.84,-0.45,4.15
24.41,-8.84,-0.45,4.15
24.48,-8.84,-0.45,4.15
24.54,-8.84,-0.45,4.15
24.61,-8.84,-0.45,4.15
24.67,-8.84,-0.45,4.15
24.74,-8.84,-0.45,4.15
24.81,-8.84,-0.45,4.15
24.87,-8.84,-0.45,4.15
24.94,-8.84,-0.45,4.15
25.01,-8.84,-0.45,4.15
25.07,-8.84,-0.45,4.15
25.15,-8.84,-0.45,4.15
25.21,-8.84,-0.45,4.15
25.28,-8.84,-0.45,4.15
25.35,-8.84,-0.45,4.15
25.41,-8.84,-0.45,4.15
25.48,-8.84,-0.45,4.15
25.54,-8.84,-0.45,4.15
25.61,-8.84,-0.45,4.15
25.67,-8.84,-0.45,4.15
25.74,-8.84,-0.45,4.15
25.81,-8.84,-0.45,4.15
25.87,-8.84,-0.45,4.15
25.94,-8.84,-0.45,4.15
26.01,-8.84,-0.45,4.15
26.07,-8.84,-0.45,4.15
26.14,-8.84,-0.45,4.15
26.2,-8.84,-0.45,4.15
26.27,-8.84,-0.45,4.15
26.34,-8.84,-0.45,4.15
26.4,-8.84,-0.45,4.15
26.47,-8.84,-0.45,4.15
26.53,-8.84,-0.45,4.15
26.6,-8.84,-0.45,4.15
26.67,-8.84,-0.45,4.15
26.73,-8.84,-0.45,4.15
26.8,-8.84,-0.45,4.15
26.86,-8.84,-0.45,4.15
26.93,-8.84,-0.45,4.15
26.99,-8.84,-0.45,4.15
27.06,-8.84,-0.45,4.15
27.13,-8.84,-0.45,4.15
27.19,-8.84,-0.45,4.15
27.26,-8.84,-0.45,4.15
27.33,-8.84,-0.45,4.15
27.39,-8.84,-0.45,4.15
27.46,-8.84,-0.45,4.15
27.52,-8.84,-0.45,4.15
27.59,-8.84,-0.45,4.15
27.66,-8.84,-0.45,4.15
27.72,-8.84,-0.45,4.15
27.79,-8.84,-0.45,4.15
27.86,-8.84,-0.45,4.15
27.92,-8.84,-0.45,4.15
27.99,-8.84,-0.45,4.15
28.05,-8.84,-0.45,4.15
28.12,-8.84,-0.45,4.15
28.19,-8.84,-0.45,4.15
28.25,-8.84,-0.45,4.15
28.32,-8.84,-0.45,4.15
28.39,-8.84,-0.45,4.15
28.45,-8.84,-0.45,4.15
28.52,-8.84,-0.45,4.15
28.59,-8.84,-0.45,4.15
28.65,-8.84,-0.45,4.15
28.72,-8.84,-0.45,4.15
28.79,-8.84,-0.45,4.15
28.85,-8.84,-0.45,4.15
28.92,-8.84,-0.45,4.15
28.99,-8.84,-0.45,4.15
29.05,-8.84,-0.45,4.15
29.12,-8.84,-0.45,4.15
29.19,-8.84,-0.45,4.15
29.25,-8.84,-0.45,4.15
29.32,-8.84,-0.45,4.15
29.39,-8.84,-0.45,4.15
29.45,-8.84,-0.45,4.15
29.52,-8.84,-0.45,4.15
29.58,-8.84,-0.45,4.15
29.65,-8.84,-0.45,4.15
29.72,-8.84,-0.45,4.15
29.78,-8.84,-0.45,4.15
29.85,-8.84,-0.45,4.15
29.92,-8.84,-0.45,4.15
29.98,-8.84,-0.45,4.15
30.05,-8.84,-0.45,4.15
30.12,-8.84,-0.45,4.15
30.18,-8.84,-0.45,4.15
30.25,-8.84,-0.45,4.15
30.32,-8.84,-0.45,4.15
30.38,-8.84,-0.45,4.15
30.45,-8.84,-0.45,4.15
30.52,-8.84,-0.45,4.15
30.58,-8.84,-0.45,4.15
30.65,-8.84,-0.45,4.15
30.71,-8.84,-0.45,4.15
30.78,-8.84,-0.45,4.15
30.85,-8.84,-0.45,4.15
30.91,-8.84,-0.45,4.15
30.98,-8.84,-0.45,4.15
31.05,-8.84,-0.45,4.15
31.11,-8.84,-0.45,4.15
31.18,-8.84,-0.45,4.15
31.25,-8.84,-0.45,4.15
31.31,-8.84,-0.45,4.15
31.38,-8.84,-0.45,4.15
31.45,-8.84,-0.45,4.15
31.52,-8.84,-0.45,4.15
31.58,-8.84,-0.45,4.15
31.65,-8.84,-0.45,4.15
31.72,-8.84,-0.45,4.15
31.79,-8.84,-0.45,4.15
31.85,-8.84,-0.45,4.15
31.92,-8.84,-0.45,4.15
31.99,-8.84,-0.45,4.15
32.05,-8.84,-0.45,4.15
32.12,-8.84,-0.45,4.15
32.18,-8.84,-0.45,4.15
32.25,-8.84,-0.45,4.15
32.32,-8.84,-0.45,4.15
32.38,-8.84,-0.45,4.15
32.45,-8.84,-0.45,4.15
32.51,-8.84,-0.45,4.15
32.58,-8.84,-0.45,4.15
32.65,-8.84,-0.45,4.15
32.71,-8.84,-0.45,4.15
32.78,-8.84,-0.45,4.15
32.84,-8.84,-0.45,4.15
32.91,-8.84,-0.45,4.15
32.98,-8.84,-0.45,4.15
33.04,-8.84,-0.45,4.15
33.11,-8.84,-0.45,4.15
33.17,-8.84,-0.45,4.15
33.24,-8.84,-0.45,4.15
