ElapsedSec,ConeDir,ConeProb,ConeMethod,ObstacleDist
11.75,0.5,0.0,,999.0
11.82,0.5,0.0,,999.0
11.88,0.5,0.0,,999.0
11.95,0.5,0.0,,999.0
12.02,0.5,0.0,,999.0
12.08,0.5,0.0,,999.0
12.15,0.5,0.0,,999.0
12.21,0.5,0.0,,999.0
12.28,0.5,0.0,,999.0
12.35,0.5,0.0,,999.0
12.41,0.5,0.0,,999.0
12.48,0.5,0.0,,999.0
12.54,0.5,0.0,,999.0
12.61,0.5,0.0,,999.0
12.67,0.5,0.0,,999.0
12.74,0.5,0.0,,999.0
12.81,0.5,0.0,,999.0
12.87,0.5,0.0,,999.0
12.94,0.5,0.0,,999.0
13.01,0.5,0.0,,999.0
13.1,0.5,0.0,,999.0
13.16,0.5,0.0,,999.0
13.23,0.5,0.0,,999.0
13.3,0.5,0.0,,999.0
13.36,0.5,0.0,,999.0
13.43,0.5,0.0,,999.0
13.5,0.5,0.0,,999.0
13.56,0.5,0.0,,999.0
13.63,0.5,0.0,,999.0
13.69,0.5,0.0,,999.0
13.76,0.5,0.0,,999.0
13.83,0.5,0.0,,999.0
13.89,0.5,0.0,,999.0
13.96,0.5,0.0,,999.0
14.04,0.5,0.0,,999.0
14.1,0.5,0.0,,999.0
14.17,0.5,0.0,,999.0
14.24,0.5,0.0,,999.0
14.3,0.5,0.0,,999.0
14.37,0.5,0.0,,999.0
14.44,0.5,0.0,,999.0
14.5,0.5,0.0,,999.0
14.57,0.5,0.0,,999.0
14.63,0.5,0.0,,999.0
14.7,0.5,0.0,,999.0
14.77,0.5,0.0,,999.0
14.83,0.5,0.0,,999.0
14.9,0.5,0.0,,999.0
14.97,0.5,0.0,,999.0
15.03,0.5,0.0,,999.0
15.1,0.5,0.0,,999.0
15.17,0.5,0.0,,999.0
15.23,0.5,0.0,,999.0
15.3,0.5,0.0,,999.0
15.37,0.5,0.0,,999.0
15.43,0.5,0.0,,999.0
15.5,0.5,0.0,,999.0
15.57,0.5,0.0,,999.0
15.63,0.5,0.0,,999.0
15.7,0.5,0.0,,999.0
15.77,0.5,0.0,,999.0
15.83,0.5,0.0,,999.0
15.9,0.5,0.0,,999.0
15.97,0.5,0.0,,999.0
16.03,0.5,0.0,,999.0
16.1,0.5,0.0,,999.0
16.16,0.5,0.0,,999.0
16.23,0.5,0.0,,999.0
16.3,0.5,0.0,,999.0
16.37,0.5,0.0,,999.0
16.43,0.5,0.0,,999.0
16.5,0.5,0.0,,999.0
16.56,0.5,0.0,,999.0
16.63,0.5,0.0,,999.0
16.7,0.5,0.0,,999.0
16.76,0.5,0.0,,999.0
16.83,0.5,0.0,,999.0
16.9,0.5,0.0,,999.0
16.96,0.5,0.0,,999.0
17.03,0.5,0.0,,999.0
17.1,0.5,0.0,,999.0
17.17,0.5,0.0,,999.0
17.24,0.5,0.0,,999.0
17.31,0.5,0.0,,999.0
17.37,0.5,0.0,,999.0
17.44,0.5,0.0,,999.0
17.5,0.5,0.0,,999.0
17.57,0.5,0.0,,999.0
17.64,0.5,0.0,,999.0
17.7,0.5,0.0,,999.0
17.77,0.5,0.0,,999.0
17.83,0.5,0.0,,999.0
17.9,0.5,0.0,,999.0
17.97,0.5,0.0,,999.0
18.03,0.5,0.0,,999.0
18.1,0.5,0.0,,999.0
18.16,0.5,0.0,,999.0
18.23,0.5,0.0,,999.0
18.3,0.5,0.0,,999.0
18.36,0.5,0.0,,999.0
18.43,0.5,0.0,,999.0
18.5,0.5,0.0,,999.0
18.56,0.5,0.0,,999.0
18.63,0.5,0.0,,999.0
18.69,0.5,0.0,,999.0
18.76,0.5,0.0,,999.0
18.83,0.5,0.0,,999.0
18.89,0.5,0.0,,999.0
18.96,0.5,0.0,,999.0
19.02,0.5,0.0,,999.0
19.09,0.5,0.0,,999.0
19.16,0.5,0.0,,999.0
19.22,0.5,0.0,,999.0
19.29,0.5,0.0,,999.0
19.35,0.5,0.0,,999.0
19.42,0.5,0.0,,999.0
19.49,0.5,0.0,,999.0
19.55,0.5,0.0,,999.0
19.62,0.5,0.0,,999.0
19.69,0.5,0.0,,999.0
19.75,0.5,0.0,,999.0
19.82,0.5,0.0,,999.0
19.88,0.5,0.0,,999.0
19.95,0.5,0.0,,999.0
20.02,0.5,0.0,,999.0
20.08,0.5,0.0,,999.0
20.15,0.5,0.0,,999.0
20.22,0.5,0.0,,999.0
20.28,0.5,0.0,,999.0
20.35,0.5,0.0,,999.0
20.42,0.5,0.0,,999.0
20.48,0.5,0.0,,999.0
20.55,0.5,0.0,,999.0
20.61,0.5,0.0,,999.0
20.68,0.5,0.0,,999.0
20.75,0.5,0.0,,999.0
20.81,0.5,0.0,,999.0
20.88,0.5,0.0,,999.0
20.95,0.5,0.0,,999.0
21.01,0.5,0.0,,999.0
21.08,0.5,0.0,,999.0
21.15,0.5,0.0,,999.0
21.21,0.5,0.0,,999.0
21.28,0.5,0.0,,999.0
21.34,0.5,0.0,,999.0
21.41,0.5,0.0,,999.0
21.48,0.5,0.0,,999.0
21.54,0.5,0.0,,999.0
21.61,0.5,0.0,,999.0
21.68,0.5,0.0,,999.0
21.74,0.5,0.0,,999.0
21.81,0.5,0.0,,999.0
21.88,0.5,0.0,,999.0
21.94,0.5,0.0,,999.0
22.01,0.5,0.0,,999.0
22.08,0.5,0.0,,999.0
22.14,0.5,0.0,,999.0
22.21,0.5,0.0,,999.0
22.28,0.5,0.0,,999.0
22.34,0.5,0.0,,999.0
22.41,0.5,0.0,,999.0
22.48,0.5,0.0,,999.0
22.54,0.5,0.0,,999.0
22.61,0.5,0.0,,999.0
22.68,0.5,0.0,,999.0
22.74,0.5,0.0,,999.0
22.81,0.5,0.0,,999.0
22.88,0.5,0.0,,999.0
22.94,0.5,0.0,,999.0
23.01,0.5,0.0,,999.0
23.08,0.5,0.0,,999.0
23.14,0.5,0.0,,999.0
23.21,0.5,0.0,,999.0
23.28,0.5,0.0,,999.0
23.34,0.5,0.0,,999.0
23.41,0.5,0.0,,999.0
23.48,0.5,0.0,,999.0
23.54,0.5,0.0,,999.0
23.61,0.5,0.0,,999.0
23.68,0.5,0.0,,999.0
23.74,0.5,0.0,,999.0
23.81,0.5,0.0,,999.0
23.88,0.5,0.0,,999.0
23.95,0.5,0.0,,999.0
24.02,0.5,0.0,,999.0
24.08,0.5,0.0,,999.0
24.15,0.5,0.0,,999.0
24.21,0.5,0.0,,999.0
24.28,0.5,0.0,,999.0
24.35,0.5,0.0,,999.0
24.41,0.5,0.0,,999.0
24.48,0.5,0.0,,999.0
24.54,0.5,0.0,,999.0
24.61,0.5,0.0,,999.0
24.67,0.5,0.0,,999.0
24.74,0.5,0.0,,999.0
24.81,0.5,0.0,,999.0
24.87,0.5,0.0,,999.0
24.94,0.5,0.0,,999.0
25.01,0.5,0.0,,999.0
25.07,0.5,0.0,,999.0
25.15,0.5,0.0,,999.0
25.21,0.5,0.0,,999.0
25.28,0.5,0.0,,999.0
25.35,0.5,0.0,,999.0
25.41,0.5,0.0,,999.0
25.48,0.5,0.0,,999.0
25.54,0.5,0.0,,999.0
25.61,0.5,0.0,,999.0
25.67,0.5,0.0,,999.0
25.74,0.5,0.0,,999.0
25.81,0.5,0.0,,999.0
25.87,0.5,0.0,,999.0
25.94,0.5,0.0,,999.0
26.01,0.5,0.0,,999.0
26.07,0.5,0.0,,999.0
26.14,0.5,0.0,,999.0
26.2,0.5,0.0,,999.0
26.27,0.5,0.0,,999.0
26.34,0.5,0.0,,999.0
26.4,0.5,0.0,,999.0
26.47,0.5,0.0,,999.0
26.53,0.5,0.0,,999.0
26.6,0.5,0.0,,999.0
26.67,0.5,0.0,,999.0
26.73,0.5,0.0,,999.0
26.8,0.5,0.0,,999.0
26.86,0.5,0.0,,999.0
26.93,0.5,0.0,,999.0
26.99,0.5,0.0,,999.0
27.06,0.5,0.0,,999.0
27.13,0.5,0.0,,999.0
27.19,0.5,0.0,,999.0
27.26,0.5,0.0,,999.0
