ElapsedSec,Phase,AnomalyCount,HighlightAnomalyCount,MissingCount
215.1,2,1,1,0
215.16,2,1,1,0
215.23,2,1,1,0
215.29,2,1,1,0
215.36,2,1,1,0
215.43,2,1,1,0
215.49,2,1,1,0
215.56,2,1,1,0
215.63,2,1,1,0
215.7,2,1,1,0
215.76,2,1,1,0
215.83,2,1,1,0
215.89,2,1,1,0
215.96,2,1,1,0
216.02,2,1,1,0
216.09,2,1,1,0
216.16,2,1,1,0
216.22,2,1,1,0
216.29,2,1,1,0
216.35,2,1,1,0
216.42,2,1,1,0
216.48,2,1,1,0
216.55,2,1,1,0
216.61,2,1,1,0
216.68,2,1,1,0
216.75,2,1,1,0
216.81,2,1,1,0
216.88,2,1,1,0
216.94,2,1,1,0
217.01,2,1,1,0
217.08,2,1,1,0
217.14,2,1,1,0
217.21,2,1,1,0
217.27,2,1,1,0
217.34,2,1,1,0
217.4,2,1,1,0
217.47,2,1,1,0
217.54,2,1,1,0
217.6,2,1,1,0
217.67,2,1,1,0
217.74,2,1,1,0
217.8,2,1,1,0
217.87,2,1,1,0
217.94,2,1,1,0
218.0,2,1,1,0
218.07,2,1,1,0
218.14,2,1,1,0
218.2,2,1,1,0
218.27,2,1,1,0
218.34,2,1,1,0
218.4,2,1,1,0
218.47,2,1,1,0
218.54,2,1,1,0
218.6,2,1,1,0
218.67,2,1,1,0
218.74,2,1,1,0
218.8,2,1,1,0
218.87,2,1,1,0
218.94,2,1,1,0
219.0,2,1,1,0
219.07,2,1,1,0
219.14,2,1,1,0
219.2,2,1,1,0
219.27,2,1,1,0
219.34,2,1,1,0
219.4,2,1,1,0
219.47,2,1,1,0
219.54,2,1,1,0
219.6,2,1,1,0
219.67,2,1,1,0
219.74,2,1,1,0
219.8,2,1,1,0
219.87,2,1,1,0
219.94,2,1,1,0
220.0,2,1,1,0
220.07,2,1,1,0
220.14,2,1,1,0
220.2,2,1,1,0
220.27,2,1,1,0
220.34,2,1,1,0
220.4,2,1,1,0
220.47,2,1,1,0
220.54,2,1,1,0
220.6,2,1,1,0
220.67,2,1,1,0
220.74,2,1,1,0
220.8,2,1,1,0
220.87,2,1,1,0
220.94,2,1,1,0
221.0,2,1,1,0
221.07,2,1,1,0
221.14,2,1,1,0
221.2,2,1,1,0
221.27,2,1,1,0
221.34,2,1,1,0
221.4,2,1,1,0
221.47,2,1,1,0
221.54,2,1,1,0
221.6,2,1,1,0
221.67,2,1,1,0
221.74,2,1,1,0
221.8,2,1,1,0
221.87,2,1,1,0
221.94,2,1,1,0
222.01,2,1,1,0
222.07,2,1,1,0
222.15,2,1,1,0
222.21,2,1,1,0
222.28,2,1,1,0
222.34,2,1,1,0
222.41,2,1,1,0
222.48,2,1,1,0
222.54,2,1,1,0
222.61,2,1,1,0
222.68,2,1,1,0
222.74,2,1,1,0
222.81,2,1,1,0
222.87,2,1,1,0
222.94,2,1,1,0
