ElapsedSec,Distance,Azimuth,TargetLat,TargetLng,Angle,Direction,AngleValid
8.41,0.0,0.0,30.374217,130.959968,269.94,0.0,1
8.48,0.0,0.0,30.374217,130.959968,269.94,0.0,1
8.55,0.0,0.0,30.374217,130.959968,269.94,0.0,1
8.61,0.0,0.0,30.374217,130.959968,269.94,0.0,1
8.68,0.0,0.0,30.374217,130.959968,269.94,0.0,1
8.75,0.0,0.0,30.374217,130.959968,269.94,0.0,1
8.81,0.0,0.0,30.374217,130.959968,269.94,0.0,1
8.88,0.0,0.0,30.374217,130.959968,269.94,0.0,1
8.95,0.0,0.0,30.374217,130.959968,269.94,0.0,1
9.01,0.0,0.0,30.374217,130.959968,269.94,0.0,1
9.08,0.0,0.0,30.374217,130.959968,269.94,0.0,1
9.15,0.0,0.0,30.374217,130.959968,269.94,0.0,1
9.21,0.0,0.0,30.374217,130.959968,269.94,0.0,1
9.28,0.0,0.0,30.374217,130.959968,269.94,0.0,1
9.35,0.0,0.0,30.374217,130.959968,269.94,0.0,1
9.42,0.0,0.0,30.374217,130.959968,269.94,0.0,1
9.48,0.0,0.0,30.374217,130.959968,269.94,0.0,1
9.55,0.0,0.0,30.374217,130.959968,269.94,0.0,1
9.62,0.0,0.0,30.374217,130.959968,269.94,0.0,1
9.68,0.0,0.0,30.374217,130.959968,269.94,0.0,1
9.75,0.0,0.0,30.374217,130.959968,269.94,0.0,1
9.82,0.0,0.0,30.374217,130.959968,269.94,0.0,1
9.88,0.0,0.0,30.374217,130.959968,269.94,0.0,1
9.95,0.0,0.0,30.374217,130.959968,269.94,0.0,1
10.02,0.0,0.0,30.374217,130.959968,269.94,0.0,1
10.08,0.0,0.0,30.374217,130.959968,269.94,0.0,1
10.15,0.0,0.0,30.374217,130.959968,269.94,0.0,1
10.22,0.0,0.0,30.374217,130.959968,269.94,0.0,1
10.28,0.0,0.0,30.374217,130.959968,269.94,0.0,1
10.35,0.0,0.0,30.374217,130.959968,269.94,0.0,1
10.42,0.0,0.0,30.374217,130.959968,269.94,0.0,1
10.48,0.0,0.0,30.374217,130.959968,269.94,0.0,1
10.55,0.0,0.0,30.374217,130.959968,269.94,0.0,1
10.62,0.0,0.0,30.374217,130.959968,269.94,0.0,1
10.68,0.0,0.0,30.374217,130.959968,269.94,0.0,1
10.75,0.0,0.0,30.374217,130.959968,269.94,0.0,1
10.82,0.0,0.0,30.374217,130.959968,269.94,0.0,1
10.89,0.0,0.0,30.374217,130.959968,269.94,0.0,1
10.96,0.0,0.0,30.374217,130.959968,269.94,0.0,1
11.02,0.0,0.0,30.374217,130.959968,269.94,0.0,1
11.09,0.0,0.0,30.374217,130.959968,269.94,0.0,1
11.16,0.0,0.0,30.374217,130.959968,269.94,0.0,1
11.22,0.0,0.0,30.374217,130.959968,269.94,0.0,1
11.29,0.0,0.0,30.374217,130.959968,269.94,0.0,1
11.35,0.0,0.0,30.374217,130.959968,269.94,0.0,1
11.42,0.0,0.0,30.374217,130.959968,269.94,0.0,1
11.49,0.0,0.0,30.374217,130.959968,269.94,0.0,1
11.55,0.0,0.0,30.374217,130.959968,269.94,0.0,1
11.62,0.0,0.0,30.374217,130.959968,269.94,0.0,1
11.68,0.0,0.0,30.374217,130.959968,269.94,0.0,1
