ElapsedSec,Fall,BNOStaleSec
62.49,9.78,0.0
62.56,9.78,0.0
62.63,9.78,0.0
62.69,9.78,0.0
62.77,9.78,0.0
62.83,9.78,0.0
62.9,9.78,0.0
62.97,9.78,0.0
63.03,9.78,0.0
63.1,9.78,0.0
63.17,9.78,0.0
63.23,9.78,0.0
63.3,9.78,0.0
63.36,9.78,0.0
63.43,9.78,0.0
63.49,9.78,0.0
63.56,9.78,0.0
63.63,9.78,0.0
63.69,9.78,0.0
63.76,9.78,0.0
63.82,9.78,0.0
63.89,9.78,0.0
63.96,9.78,0.0
64.02,9.78,0.0
64.09,9.78,0.0
64.16,9.78,0.0
64.22,9.78,0.0
64.29,9.78,0.0
64.35,9.78,0.0
64.42,9.78,0.0
64.49,9.78,0.0
64.55,9.78,0.0
64.62,9.78,0.0
64.68,9.78,0.0
64.75,9.78,0.0
64.82,9.78,0.0
64.88,9.78,0.0
64.95,9.78,0.0
65.01,9.78,0.0
65.09,9.78,0.0
65.15,9.78,0.0
65.22,9.78,0.0
65.28,9.78,0.0
65.35,9.78,0.0
65.41,9.78,0.0
65.48,9.78,0.0
65.54,9.78,0.0
65.61,9.78,0.0
65.68,9.78,0.0
65.74,9.78,0.0
65.81,9.78,0.0
65.87,9.78,0.0
65.94,9.78,0.0
66.0,9.78,0.0
66.07,9.78,0.0
66.13,9.78,0.0
66.2,9.78,0.0
66.26,9.78,0.0
66.33,9.78,0.0
66.4,9.78,0.0
66.47,9.78,0.0
66.53,9.78,0.0
66.6,9.78,0.0
66.66,9.78,0.0
66.73,9.78,0.0
66.8,9.78,0.0
66.86,9.78,0.0
66.93,9.78,0.0
66.99,9.78,0.0
67.06,9.78,0.0
67.12,9.78,0.0
67.19,9.78,0.0
67.26,9.78,0.0
67.32,9.78,0.0
67.39,9.78,0.0
67.45,9.78,0.0
67.52,9.78,0.0
67.58,9.78,0.0
67.65,9.78,0.0
67.71,9.78,0.0
67.78,9.78,0.0
67.85,9.78,0.0
67.91,9.78,0.0
67.98,9.78,0.0
68.04,9.78,0.0
68.11,9.78,0.0
68.18,9.78,0.0
68.24,9.78,0.0
68.31,9.78,0.0
68.38,9.78,0.0
68.44,9.78,0.0
68.51,9.78,0.0
68.57,9.78,0.0
68.64,9.78,0.0
68.71,9.78,0.0
68.77,9.78,0.0
68.84,9.78,0.0
68.9,9.78,0.0
68.97,9.78,0.0
69.04,9.78,0.0
69.1,9.78,0.0
69.17,9.78,0.0
69.23,9.78,0.0
69.3,9.78,0.0
69.37,9.78,0.0
69.43,9.78,0.0
69.5,9.78,0.0
69.57,9.78,0.0
69.63,9.78,0.0
69.7,9.78,0.0
69.76,9.78,0.0
69.83,9.78,0.0
69.9,9.78,0.0
69.97,9.78,0.0
70.03,9.78,0.0
70.1,9.78,0.0
