ElapsedSec,LAT,LNG,GpsSpeedMps,GPSFixQual,GPSSats,GPSHdop
22.34,30.374765,130.960088,0.19,2,19,0.68
22.41,30.374765,130.960088,0.19,2,19,0.68
22.48,30.374765,130.960088,0.0,2,19,0.68
22.54,30.374765,130.960088,0.0,2,19,0.68
22.61,30.374765,130.960088,0.0,2,19,0.68
22.68,30.374765,130.960088,0.0,2,19,0.68
22.74,30.374765,130.960088,0.0,2,19,0.68
22.81,30.374765,130.960088,0.0,2,19,0.68
22.88,30.374765,130.960088,0.0,2,19,0.68
22.94,30.374765,130.960088,0.0,2,19,0.68
23.01,30.374765,130.960088,0.0,2,19,0.68
23.08,30.374765,130.960088,0.0,2,19,0.68
23.14,30.374765,130.960088,0.0,2,19,0.68
23.21,30.374765,130.960088,0.0,2,19,0.68
23.28,30.374765,130.960088,0.0,2,19,0.68
23.34,30.374765,130.960088,0.0,2,19,0.68
23.41,30.374765,130.960088,0.0,2,19,0.68
23.48,30.374765,130.960088,0.0,2,19,0.68
23.54,30.374765,130.960088,0.0,2,19,0.68
23.61,30.374765,130.960088,0.0,2,19,0.68
23.68,30.374765,130.960088,0.0,2,19,0.68
23.74,30.374765,130.960088,0.0,2,19,0.68
23.81,30.374765,130.960088,0.0,2,19,0.68
23.88,30.374765,130.960088,0.0,2,19,0.68
23.95,30.374765,130.960088,0.0,2,19,0.68
24.02,30.374765,130.960088,0.0,2,19,0.68
24.08,30.374765,130.960088,0.0,2,19,0.68
24.15,30.374765,130.960088,0.0,2,19,0.68
24.21,30.374765,130.960088,0.0,2,19,0.68
24.28,30.374765,130.960088,0.0,2,19,0.68
24.35,30.374765,130.960088,0.0,2,19,0.68
24.41,30.374765,130.960088,0.0,2,19,0.68
24.48,30.374765,130.960088,0.0,2,19,0.68
24.54,30.374765,130.960088,0.0,2,19,0.68
24.61,30.374765,130.960088,0.0,2,19,0.68
24.67,30.374765,130.960088,0.0,2,19,0.68
24.74,30.374765,130.960088,0.0,2,19,0.68
24.81,30.374765,130.960088,0.0,2,19,0.68
24.87,30.374765,130.960088,0.0,2,19,0.68
24.94,30.374765,130.960088,0.0,2,19,0.68
25.01,30.374765,130.960088,0.0,2,19,0.68
25.07,30.374765,130.960088,0.0,2,19,0.68
25.15,30.374765,130.960088,0.0,2,19,0.68
25.21,30.374765,130.960088,0.0,2,19,0.68
25.28,30.374765,130.960088,0.0,2,19,0.68
25.35,30.374765,130.960088,0.0,2,19,0.68
25.41,30.374765,130.960088,0.0,2,19,0.68
25.48,30.374765,130.960088,0.0,2,19,0.68
25.54,30.374765,130.960088,0.0,2,19,0.68
25.61,30.374765,130.960088,0.0,2,19,0.68
25.67,30.374765,130.960088,0.0,2,19,0.68
25.74,30.374765,130.960088,0.0,2,19,0.68
25.81,30.374765,130.960088,0.0,2,19,0.68
25.87,30.374765,130.960088,0.0,2,19,0.68
25.94,30.374765,130.960088,0.0,2,19,0.68
26.01,30.374765,130.960088,0.0,2,19,0.68
26.07,30.374765,130.960088,0.0,2,19,0.68
26.14,30.374765,130.960088,0.0,2,19,0.68
26.2,30.374765,130.960088,0.0,2,19,0.68
26.27,30.374765,130.960088,0.0,2,19,0.68
26.34,30.374765,130.960088,0.0,2,19,0.68
26.4,30.374765,130.960088,0.0,2,19,0.68
26.47,30.374765,130.960088,0.0,2,19,0.68
26.53,30.374765,130.960088,0.0,2,19,0.68
26.6,30.374765,130.960088,0.0,2,19,0.68
26.67,30.374765,130.960088,0.0,2,19,0.68
26.73,30.374765,130.960088,0.0,2,19,0.68
26.8,30.374765,130.960088,0.0,2,19,0.68
26.86,30.374765,130.960088,0.0,2,19,0.68
26.93,30.374765,130.960088,0.0,2,19,0.68
26.99,30.374765,130.960088,0.0,2,19,0.68
27.06,30.374765,130.960088,0.0,2,19,0.68
27.13,30.374765,130.960088,0.0,2,19,0.68
27.19,30.374765,130.960088,0.0,2,19,0.68
27.26,30.374765,130.960088,0.0,2,19,0.68
27.33,30.374765,130.960088,0.0,2,19,0.68
27.39,30.374765,130.960088,0.0,2,19,0.68
27.46,30.374765,130.960088,0.0,2,19,0.68
27.52,30.374765,130.960088,0.0,2,19,0.68
27.59,30.374765,130.960088,0.0,2,19,0.68
27.66,30.374765,130.960088,0.0,2,19,0.68
27.72,30.374765,130.960088,0.0,2,19,0.68
27.79,30.374765,130.960088,0.0,2,19,0.68
27.86,30.374765,130.960088,0.0,2,19,0.68
27.92,30.374765,130.960088,0.0,2,19,0.68
27.99,30.374765,130.960088,0.0,2,19,0.68
28.05,30.374765,130.960088,0.0,2,19,0.68
28.12,30.374765,130.960088,0.0,2,19,0.68
28.19,30.374765,130.960088,0.0,2,19,0.68
28.25,30.374765,130.960088,0.0,2,19,0.68
28.32,30.374765,130.960088,0.0,2,19,0.68
28.39,30.374765,130.960088,0.0,2,19,0.68
28.45,30.374765,130.960088,0.0,2,19,0.68
28.52,30.374765,130.960088,0.0,2,19,0.68
28.59,30.374765,130.960088,0.0,2,19,0.68
28.65,30.374765,130.960088,0.0,2,19,0.68
28.72,30.374765,130.960088,0.0,2,19,0.68
28.79,30.374765,130.960088,0.0,2,19,0.68
28.85,30.374765,130.960088,0.0,2,19,0.68
28.92,30.374765,130.960088,0.0,2,19,0.68
28.99,30.374765,130.960088,0.0,2,19,0.68
29.05,30.374765,130.960088,0.0,2,19,0.68
29.12,30.374765,130.960088,0.0,2,19,0.68
29.19,30.374765,130.960088,0.0,2,19,0.68
29.25,30.374765,130.960088,0.0,2,19,0.68
29.32,30.374765,130.960088,0.0,2,19,0.68
29.39,30.374765,130.960088,0.0,2,19,0.68
29.45,30.374765,130.960088,0.0,2,19,0.68
29.52,30.374765,130.960088,0.0,2,19,0.68
29.58,30.374765,130.960088,0.0,2,19,0.68
29.65,30.374765,130.960088,0.0,2,19,0.68
29.72,30.374765,130.960088,0.0,2,19,0.68
29.78,30.374765,130.960088,0.0,2,19,0.68
29.85,30.374765,130.960088,0.0,2,19,0.68
29.92,30.374765,130.960088,0.0,2,19,0.68
29.98,30.374765,130.960088,0.0,2,19,0.68
30.05,30.374765,130.960088,0.0,2,19,0.68
30.12,30.374765,130.960088,0.0,2,19,0.68
30.18,30.374765,130.960088,0.0,2,19,0.68
30.25,30.374765,130.960088,0.0,2,19,0.68
30.32,30.374765,130.960088,0.0,2,19,0.68
30.38,30.374765,130.960088,0.0,2,19,0.68
30.45,30.374765,130.960088,0.0,2,19,0.68
30.52,30.374765,130.960088,0.0,2,19,0.68
