ElapsedSec,MagX,MagY,MagZ
17.03,520.88,-81.25,201.75
17.1,520.88,-81.25,201.75
17.17,520.88,-81.25,201.75
17.24,520.88,-81.25,201.75
17.31,520.88,-81.25,201.75
17.37,520.88,-81.25,201.75
17.44,520.88,-81.25,201.75
17.5,520.88,-81.25,201.75
17.57,520.88,-81.25,201.75
17.64,520.88,-81.25,201.75
17.7,520.88,-81.25,201.75
17.77,520.88,-81.25,201.75
17.83,520.88,-81.25,201.75
17.9,520.88,-81.25,201.75
17.97,520.88,-81.25,201.75
18.03,520.88,-81.25,201.75
18.1,520.88,-81.25,201.75
18.16,520.88,-81.25,201.75
18.23,520.88,-81.25,201.75
18.3,520.88,-81.25,201.75
18.36,520.88,-81.25,201.75
18.43,520.88,-81.25,201.75
18.5,520.88,-81.25,201.75
18.56,520.88,-81.25,201.75
18.63,520.88,-81.25,201.75
18.69,520.88,-81.25,201.75
18.76,520.88,-81.25,201.75
18.83,520.88,-81.25,201.75
18.89,520.88,-81.25,201.75
18.96,520.88,-81.25,201.75
19.02,520.88,-81.25,201.75
19.09,520.88,-81.25,201.75
19.16,520.88,-81.25,201.75
19.22,520.88,-81.25,201.75
19.29,520.88,-81.25,201.75
19.35,520.88,-81.25,201.75
19.42,520.88,-81.25,201.75
19.49,520.88,-81.25,201.75
19.55,520.88,-81.25,201.75
19.62,520.88,-81.25,201.75
19.69,520.88,-81.25,201.75
19.75,520.88,-81.25,201.75
19.82,520.88,-81.25,201.75
19.88,520.88,-81.25,201.75
19.95,520.88,-81.25,201.75
20.02,520.88,-81.25,201.75
20.08,520.88,-81.25,201.75
20.15,520.88,-81.25,201.75
20.22,520.88,-81.25,201.75
20.28,520.88,-81.25,201.75
20.35,520.88,-81.25,201.75
20.42,520.88,-81.25,201.75
20.48,520.88,-81.25,201.75
20.55,520.88,-81.25,201.75
20.61,520.88,-81.25,201.75
20.68,520.88,-81.25,201.75
20.75,520.88,-81.25,201.75
20.81,520.88,-81.25,201.75
20.88,520.88,-81.25,201.75
20.95,520.88,-81.25,201.75
21.01,520.88,-81.25,201.75
21.08,520.88,-81.25,201.75
21.15,520.88,-81.25,201.75
21.21,520.88,-81.25,201.75
21.28,520.88,-81.25,201.75
21.34,520.88,-81.25,201.75
21.41,520.88,-81.25,201.75
21.48,520.88,-81.25,201.75
21.54,520.88,-81.25,201.75
21.61,520.88,-81.25,201.75
21.68,520.88,-81.25,201.75
21.74,520.88,-81.25,201.75
21.81,520.88,-81.25,201.75
21.88,520.88,-81.25,201.75
21.94,520.88,-81.25,201.75
22.01,520.88,-81.25,201.75
22.08,520.88,-81.25,201.75
22.14,520.88,-81.25,201.75
22.21,520.88,-81.25,201.75
22.28,520.88,-81.25,201.75
22.34,520.88,-81.25,201.75
22.41,520.88,-81.25,201.75
22.48,520.88,-81.25,201.75
22.54,520.88,-81.25,201.75
22.61,520.88,-81.25,201.75
22.68,520.88,-81.25,201.75
22.74,520.88,-81.25,201.75
22.81,520.88,-81.25,201.75
22.88,520.88,-81.25,201.75
22.94,520.88,-81.25,201.75
23.01,520.88,-81.25,201.75
23.08,520.88,-81.25,201.75
23.14,520.88,-81.25,201.75
23.21,520.88,-81.25,201.75
23.28,520.88,-81.25,201.75
23.34,520.88,-81.25,201.75
23.41,520.88,-81.25,201.75
23.48,520.88,-81.25,201.75
23.54,520.88,-81.25,201.75
23.61,520.88,-81.25,201.75
23.68,520.88,-81.25,201.75
23.74,520.88,-81.25,201.75
23.81,520.88,-81.25,201.75
23.88,520.88,-81.25,201.75
23.95,520.88,-81.25,201.75
24.02,520.88,-81.25,201.75
24.08,520.88,-81.25,201.75
24.15,520.88,-81.25,201.75
24.21,520.88,-81.25,201.75
24.28,520.88,-81.25,201.75
24.35,520.88,-81.25,201.75
24.41,520.88,-81.25,201.75
24.48,520.88,-81.25,201.75
24.54,520.88,-81.25,201.75
24.61,520.88,-81.25,201.75
24.67,520.88,-81.25,201.75
24.74,520.88,-81.25,201.75
24.81,520.88,-81.25,201.75
24.87,520.88,-81.25,201.75
24.94,520.88,-81.25,201.75
25.01,520.88,-81.25,201.75
25.07,520.88,-81.25,201.75
25.15,520.88,-81.25,201.75
25.21,520.88,-81.25,201.75
25.28,520.88,-81.25,201.75
25.35,520.88,-81.25,201.75
25.41,520.88,-81.25,201.75
25.48,520.88,-81.25,201.75
25.54,520.88,-81.25,201.75
25.61,520.88,-81.25,201.75
