ElapsedSec,Phase,MissionElapsedSec,MissionEndReason,MissionTotalTimeout
16.63,0,16.63,RUNNING,0
16.7,0,16.7,RUNNING,0
16.76,0,16.76,RUNNING,0
16.83,0,16.83,RUNNING,0
16.9,0,16.9,RUNNING,0
16.96,0,16.96,RUNNING,0
17.03,0,17.03,RUNNING,0
17.1,0,17.1,RUNNING,0
17.17,0,17.17,RUNNING,0
17.24,0,17.24,RUNNING,0
17.31,0,17.31,RUNNING,0
17.37,0,17.37,RUNNING,0
17.44,0,17.44,RUNNING,0
17.5,0,17.5,RUNNING,0
17.57,0,17.57,RUNNING,0
17.64,0,17.64,RUNNING,0
17.7,0,17.7,RUNNING,0
17.77,0,17.77,RUNNING,0
17.83,0,17.83,RUNNING,0
17.9,0,17.9,RUNNING,0
17.97,0,17.97,RUNNING,0
18.03,0,18.03,RUNNING,0
18.1,0,18.1,RUNNING,0
18.16,0,18.16,RUNNING,0
18.23,0,18.23,RUNNING,0
18.3,0,18.3,RUNNING,0
18.36,0,18.36,RUNNING,0
18.43,0,18.43,RUNNING,0
18.5,0,18.5,RUNNING,0
18.56,0,18.56,RUNNING,0
18.63,0,18.63,RUNNING,0
18.69,0,18.69,RUNNING,0
18.76,0,18.76,RUNNING,0
18.83,0,18.83,RUNNING,0
18.89,0,18.89,RUNNING,0
18.96,0,18.96,RUNNING,0
19.02,0,19.02,RUNNING,0
19.09,0,19.09,RUNNING,0
19.16,0,19.16,RUNNING,0
19.22,0,19.22,RUNNING,0
19.29,0,19.29,RUNNING,0
19.35,0,19.35,RUNNING,0
19.42,0,19.42,RUNNING,0
19.49,0,19.49,RUNNING,0
19.55,0,19.55,RUNNING,0
19.62,0,19.62,RUNNING,0
19.69,0,19.69,RUNNING,0
19.75,0,19.75,RUNNING,0
19.82,0,19.82,RUNNING,0
19.88,0,19.88,RUNNING,0
19.95,0,19.95,RUNNING,0
20.02,0,20.02,RUNNING,0
20.08,0,20.08,RUNNING,0
20.15,0,20.15,RUNNING,0
20.22,0,20.22,RUNNING,0
20.28,0,20.28,RUNNING,0
20.35,0,20.35,RUNNING,0
20.42,0,20.42,RUNNING,0
20.48,0,20.48,RUNNING,0
20.55,0,20.55,RUNNING,0
20.61,0,20.61,RUNNING,0
20.68,0,20.68,RUNNING,0
20.75,0,20.75,RUNNING,0
20.81,0,20.81,RUNNING,0
20.88,0,20.88,RUNNING,0
20.95,0,20.95,RUNNING,0
21.01,0,21.01,RUNNING,0
21.08,0,21.08,RUNNING,0
21.15,0,21.15,RUNNING,0
21.21,0,21.21,RUNNING,0
21.28,0,21.28,RUNNING,0
21.34,0,21.34,RUNNING,0
21.41,0,21.41,RUNNING,0
21.48,0,21.48,RUNNING,0
21.54,0,21.54,RUNNING,0
21.61,0,21.61,RUNNING,0
21.68,0,21.68,RUNNING,0
21.74,0,21.74,RUNNING,0
21.81,0,21.81,RUNNING,0
21.88,0,21.88,RUNNING,0
21.94,0,21.94,RUNNING,0
22.01,0,22.01,RUNNING,0
22.08,0,22.08,RUNNING,0
22.14,0,22.14,RUNNING,0
22.21,0,22.21,RUNNING,0
22.28,0,22.28,RUNNING,0
22.34,0,22.34,RUNNING,0
22.41,0,22.41,RUNNING,0
22.48,0,22.48,RUNNING,0
22.54,0,22.54,RUNNING,0
22.61,0,22.61,RUNNING,0
22.68,0,22.68,RUNNING,0
22.74,0,22.74,RUNNING,0
22.81,0,22.81,RUNNING,0
22.88,0,22.88,RUNNING,0
22.94,0,22.94,RUNNING,0
23.01,0,23.01,RUNNING,0
23.08,0,23.08,RUNNING,0
23.14,0,23.14,RUNNING,0
23.21,0,23.21,RUNNING,0
23.28,0,23.28,RUNNING,0
23.34,0,23.34,RUNNING,0
23.41,0,23.41,RUNNING,0
23.48,0,23.48,RUNNING,0
23.54,0,23.54,RUNNING,0
23.61,0,23.61,RUNNING,0
23.68,0,23.68,RUNNING,0
23.74,0,23.74,RUNNING,0
23.81,0,23.81,RUNNING,0
23.88,0,23.88,RUNNING,0
23.95,0,23.95,RUNNING,0
24.02,0,24.02,RUNNING,0
24.08,0,24.08,RUNNING,0
24.15,0,24.15,RUNNING,0
24.21,0,24.21,RUNNING,0
24.28,0,24.28,RUNNING,0
24.35,0,24.35,RUNNING,0
24.41,0,24.41,RUNNING,0
24.48,0,24.48,RUNNING,0
24.54,0,24.54,RUNNING,0
24.61,0,24.61,RUNNING,0
24.67,0,24.67,RUNNING,0
24.74,0,24.74,RUNNING,0
24.81,0,24.81,RUNNING,0
24.87,0,24.87,RUNNING,0
24.94,0,24.94,RUNNING,0
25.01,0,25.01,RUNNING,0
25.07,0,25.07,RUNNING,0
25.15,0,25.15,RUNNING,0
25.21,0,25.21,RUNNING,0
25.28,0,25.28,RUNNING,0
25.35,0,25.35,RUNNING,0
25.41,0,25.41,RUNNING,0
25.48,0,25.48,RUNNING,0
25.54,0,25.54,RUNNING,0
25.61,0,25.61,RUNNING,0
25.67,0,25.67,RUNNING,0
25.74,0,25.74,RUNNING,0
25.81,0,25.81,RUNNING,0
25.87,0,25.87,RUNNING,0
25.94,0,25.94,RUNNING,0
26.01,0,26.01,RUNNING,0
26.07,0,26.07,RUNNING,0
26.14,0,26.14,RUNNING,0
26.2,0,26.2,RUNNING,0
26.27,0,26.27,RUNNING,0
26.34,0,26.34,RUNNING,0
26.4,0,26.4,RUNNING,0
26.47,0,26.47,RUNNING,0
26.53,0,26.53,RUNNING,0
26.6,0,26.6,RUNNING,0
26.67,0,26.67,RUNNING,0
26.73,0,26.73,RUNNING,0
26.8,0,26.8,RUNNING,0
26.86,0,26.86,RUNNING,0
26.93,0,26.93,RUNNING,0
26.99,0,26.99,RUNNING,0
27.06,0,27.06,RUNNING,0
27.13,0,27.13,RUNNING,0
27.19,0,27.19,RUNNING,0
27.26,0,27.26,RUNNING,0
27.33,0,27.33,RUNNING,0
27.39,0,27.39,RUNNING,0
27.46,0,27.46,RUNNING,0
27.52,0,27.52,RUNNING,0
27.59,0,27.59,RUNNING,0
27.66,0,27.66,RUNNING,0
27.72,0,27.72,RUNNING,0
27.79,0,27.79,RUNNING,0
27.86,0,27.86,RUNNING,0
27.92,0,27.92,RUNNING,0
27.99,0,27.99,RUNNING,0
28.05,0,28.05,RUNNING,0
28.12,0,28.12,RUNNING,0
28.19,0,28.19,RUNNING,0
28.25,0,28.25,RUNNING,0
28.32,0,28.32,RUNNING,0
28.39,0,28.39,RUNNING,0
28.45,0,28.45,RUNNING,0
28.52,0,28.52,RUNNING,0
28.59,0,28.59,RUNNING,0
28.65,0,28.65,RUNNING,0
28.72,0,28.72,RUNNING,0
28.79,0,28.79,RUNNING,0
28.85,0,28.85,RUNNING,0
28.92,0,28.92,RUNNING,0
28.99,0,28.99,RUNNING,0
29.05,0,29.05,RUNNING,0
29.12,0,29.12,RUNNING,0
29.19,0,29.19,RUNNING,0
29.25,0,29.25,RUNNING,0
29.32,0,29.32,RUNNING,0
29.39,0,29.39,RUNNING,0
29.45,0,29.45,RUNNING,0
29.52,0,29.52,RUNNING,0
29.58,0,29.58,RUNNING,0
29.65,0,29.65,RUNNING,0
29.72,0,29.72,RUNNING,0
29.78,0,29.78,RUNNING,0
29.85,0,29.85,RUNNING,0
29.92,0,29.92,RUNNING,0
29.98,0,29.98,RUNNING,0
30.05,0,30.05,RUNNING,0
30.12,0,30.12,RUNNING,0
30.18,0,30.18,RUNNING,0
30.25,0,30.25,RUNNING,0
30.32,0,30.32,RUNNING,0
30.38,0,30.38,RUNNING,0
30.45,0,30.45,RUNNING,0
30.52,0,30.52,RUNNING,0
30.58,0,30.58,RUNNING,0
30.65,0,30.65,RUNNING,0
30.71,0,30.71,RUNNING,0
30.78,0,30.78,RUNNING,0
30.85,0,30.85,RUNNING,0
30.91,0,30.91,RUNNING,0
30.98,0,30.98,RUNNING,0
31.05,0,31.05,RUNNING,0
31.11,0,31.11,RUNNING,0
31.18,0,31.18,RUNNING,0
31.25,0,31.25,RUNNING,0
31.31,0,31.31,RUNNING,0
31.38,0,31.38,RUNNING,0
31.45,0,31.45,RUNNING,0
31.52,0,31.52,RUNNING,0
31.58,0,31.58,RUNNING,0
31.65,0,31.65,RUNNING,0
31.72,0,31.72,RUNNING,0
31.79,0,31.79,RUNNING,0
31.85,0,31.85,RUNNING,0
31.92,0,31.92,RUNNING,0
31.99,0,31.99,RUNNING,0
32.05,0,32.05,RUNNING,0
32.12,0,32.12,RUNNING,0
32.18,0,32.18,RUNNING,0
32.25,0,32.25,RUNNING,0
32.32,0,32.32,RUNNING,0
32.38,0,32.38,RUNNING,0
32.45,0,32.45,RUNNING,0
32.51,0,32.51,RUNNING,0
32.58,0,32.58,RUNNING,0
32.65,0,32.65,RUNNING,0
32.71,0,32.71,RUNNING,0
32.78,0,32.78,RUNNING,0
32.84,0,32.84,RUNNING,0
32.91,0,32.91,RUNNING,0
32.98,0,32.98,RUNNING,0
33.04,0,33.04,RUNNING,0
33.11,0,33.11,RUNNING,0
33.17,0,33.17,RUNNING,0
33.24,0,33.24,RUNNING,0
33.31,0,33.31,RUNNING,0
33.37,0,33.37,RUNNING,0
33.44,0,33.44,RUNNING,0
33.51,0,33.51,RUNNING,0
33.57,0,33.57,RUNNING,0
33.64,0,33.64,RUNNING,0
33.71,0,33.71,RUNNING,0
33.77,0,33.77,RUNNING,0
33.84,0,33.84,RUNNING,0
33.9,0,33.9,RUNNING,0
33.97,0,33.97,RUNNING,0
34.04,0,34.04,RUNNING,0
34.11,0,34.11,RUNNING,0
34.18,0,34.18,RUNNING,0
34.24,0,34.24,RUNNING,0
34.31,0,34.31,RUNNING,0
34.37,0,34.37,RUNNING,0
34.44,0,34.44,RUNNING,0
34.51,0,34.51,RUNNING,0
34.57,0,34.57,RUNNING,0
34.64,0,34.64,RUNNING,0
34.71,0,34.71,RUNNING,0
34.77,0,34.77,RUNNING,0
34.84,0,34.84,RUNNING,0
34.9,0,34.9,RUNNING,0
34.97,0,34.97,RUNNING,0
35.04,0,35.04,RUNNING,0
35.1,0,35.1,RUNNING,0
35.17,0,35.17,RUNNING,0
35.24,0,35.24,RUNNING,0
35.3,0,35.3,RUNNING,0
35.37,0,35.37,RUNNING,0
35.44,0,35.44,RUNNING,0
35.5,0,35.5,RUNNING,0
35.57,0,35.57,RUNNING,0
35.63,0,35.63,RUNNING,0
35.7,0,35.7,RUNNING,0
35.77,0,35.77,RUNNING,0
35.83,0,35.83,RUNNING,0
35.9,0,35.9,RUNNING,0
35.97,0,35.97,RUNNING,0
36.03,0,36.03,RUNNING,0
36.1,0,36.1,RUNNING,0
36.17,0,36.17,RUNNING,0
36.23,0,36.23,RUNNING,0
36.3,0,36.3,RUNNING,0
36.37,0,36.37,RUNNING,0
36.43,0,36.43,RUNNING,0
36.5,0,36.5,RUNNING,0
36.56,0,36.56,RUNNING,0
36.63,0,36.63,RUNNING,0
36.7,0,36.7,RUNNING,0
36.76,0,36.76,RUNNING,0
36.83,0,36.83,RUNNING,0
36.9,0,36.9,RUNNING,0
36.96,0,36.96,RUNNING,0
37.03,0,37.03,RUNNING,0
37.1,0,37.1,RUNNING,0
37.16,0,37.16,RUNNING,0
37.23,0,37.23,RUNNING,0
37.3,0,37.3,RUNNING,0
37.36,0,37.36,RUNNING,0
37.43,0,37.43,RUNNING,0
37.5,0,37.5,RUNNING,0
37.56,0,37.56,RUNNING,0
37.63,0,37.63,RUNNING,0
37.7,0,37.7,RUNNING,0
37.76,0,37.76,RUNNING,0
37.83,0,37.83,RUNNING,0
37.9,0,37.9,RUNNING,0
37.96,0,37.96,RUNNING,0
38.03,0,38.03,RUNNING,0
38.1,0,38.1,RUNNING,0
38.16,0,38.16,RUNNING,0
38.23,0,38.23,RUNNING,0
38.3,0,38.3,RUNNING,0
38.36,0,38.36,RUNNING,0
38.43,0,38.43,RUNNING,0
38.5,0,38.5,RUNNING,0
38.57,0,38.57,RUNNING,0
38.63,0,38.63,RUNNING,0
38.7,0,38.7,RUNNING,0
38.77,0,38.77,RUNNING,0
38.83,0,38.83,RUNNING,0
38.9,0,38.9,RUNNING,0
38.96,0,38.96,RUNNING,0
39.03,0,39.03,RUNNING,0
39.1,0,39.1,RUNNING,0
39.16,0,39.16,RUNNING,0
39.23,0,39.23,RUNNING,0
39.29,0,39.29,RUNNING,0
39.36,0,39.36,RUNNING,0
39.43,0,39.43,RUNNING,0
39.49,0,39.49,RUNNING,0
39.56,0,39.56,RUNNING,0
39.62,0,39.62,RUNNING,0
39.69,0,39.69,RUNNING,0
39.76,0,39.76,RUNNING,0
39.82,0,39.82,RUNNING,0
39.89,0,39.89,RUNNING,0
39.96,0,39.96,RUNNING,0
40.02,0,40.02,RUNNING,0
40.09,0,40.09,RUNNING,0
40.15,0,40.15,RUNNING,0
40.22,0,40.22,RUNNING,0
40.29,0,40.29,RUNNING,0
40.35,0,40.35,RUNNING,0
40.42,0,40.42,RUNNING,0
40.48,0,40.48,RUNNING,0
40.55,0,40.55,RUNNING,0
40.62,0,40.62,RUNNING,0
40.68,0,40.68,RUNNING,0
40.75,0,40.75,RUNNING,0
40.81,0,40.81,RUNNING,0
40.88,0,40.88,RUNNING,0
40.95,0,40.95,RUNNING,0
41.01,0,41.01,RUNNING,0
41.08,0,41.08,RUNNING,0
41.15,0,41.15,RUNNING,0
41.21,0,41.21,RUNNING,0
41.28,0,41.28,RUNNING,0
41.35,0,41.35,RUNNING,0
41.41,0,41.41,RUNNING,0
41.48,0,41.48,RUNNING,0
41.54,0,41.54,RUNNING,0
41.61,0,41.61,RUNNING,0
41.68,0,41.68,RUNNING,0
41.74,0,41.74,RUNNING,0
41.81,0,41.81,RUNNING,0
41.88,0,41.88,RUNNING,0
41.94,0,41.94,RUNNING,0
42.01,0,42.01,RUNNING,0
42.07,0,42.07,RUNNING,0
42.14,0,42.14,RUNNING,0
42.21,0,42.21,RUNNING,0
42.28,0,42.28,RUNNING,0
42.34,0,42.34,RUNNING,0
42.41,0,42.41,RUNNING,0
42.47,0,42.47,RUNNING,0
42.54,0,42.54,RUNNING,0
42.61,0,42.61,RUNNING,0
42.67,0,42.67,RUNNING,0
42.74,0,42.74,RUNNING,0
42.81,0,42.81,RUNNING,0
42.87,0,42.87,RUNNING,0
42.94,0,42.94,RUNNING,0
43.01,0,43.01,RUNNING,0
43.07,0,43.07,RUNNING,0
43.14,0,43.14,RUNNING,0
43.2,0,43.2,RUNNING,0
43.27,0,43.27,RUNNING,0
43.34,0,43.34,RUNNING,0
43.4,0,43.4,RUNNING,0
43.47,0,43.47,RUNNING,0
43.54,0,43.54,RUNNING,0
43.6,0,43.6,RUNNING,0
43.67,0,43.67,RUNNING,0
43.74,0,43.74,RUNNING,0
43.8,0,43.8,RUNNING,0
43.87,0,43.87,RUNNING,0
43.94,0,43.94,RUNNING,0
44.0,0,44.0,RUNNING,0
44.07,0,44.07,RUNNING,0
44.14,0,44.14,RUNNING,0
44.2,0,44.2,RUNNING,0
44.27,0,44.27,RUNNING,0
44.33,0,44.33,RUNNING,0
44.4,0,44.4,RUNNING,0
44.47,0,44.47,RUNNING,0
44.54,0,44.54,RUNNING,0
44.6,0,44.6,RUNNING,0
44.67,0,44.67,RUNNING,0
44.73,0,44.73,RUNNING,0
44.8,0,44.8,RUNNING,0
44.87,0,44.87,RUNNING,0
44.93,0,44.93,RUNNING,0
45.0,0,45.0,RUNNING,0
45.08,0,45.08,RUNNING,0
45.14,0,45.14,RUNNING,0
45.21,0,45.21,RUNNING,0
45.27,0,45.27,RUNNING,0
45.34,0,45.34,RUNNING,0
45.4,0,45.4,RUNNING,0
45.47,0,45.47,RUNNING,0
45.54,0,45.54,RUNNING,0
45.6,0,45.6,RUNNING,0
45.67,0,45.67,RUNNING,0
45.74,0,45.74,RUNNING,0
45.8,0,45.8,RUNNING,0
45.87,0,45.87,RUNNING,0
45.93,0,45.93,RUNNING,0
46.0,0,46.0,RUNNING,0
46.06,0,46.06,RUNNING,0
46.13,0,46.13,RUNNING,0
46.2,0,46.2,RUNNING,0
46.26,0,46.26,RUNNING,0
46.33,0,46.33,RUNNING,0
46.4,0,46.4,RUNNING,0
46.46,0,46.46,RUNNING,0
46.53,0,46.53,RUNNING,0
46.6,0,46.6,RUNNING,0
46.66,0,46.66,RUNNING,0
46.73,0,46.73,RUNNING,0
46.79,0,46.79,RUNNING,0
46.86,0,46.86,RUNNING,0
46.93,0,46.93,RUNNING,0
46.99,0,46.99,RUNNING,0
47.06,0,47.06,RUNNING,0
47.12,0,47.12,RUNNING,0
47.19,0,47.19,RUNNING,0
47.26,0,47.26,RUNNING,0
47.32,0,47.32,RUNNING,0
47.39,0,47.39,RUNNING,0
47.46,0,47.46,RUNNING,0
47.52,0,47.52,RUNNING,0
47.59,0,47.59,RUNNING,0
47.66,0,47.66,RUNNING,0
47.73,0,47.73,RUNNING,0
47.8,0,47.8,RUNNING,0
47.86,0,47.86,RUNNING,0
47.93,0,47.93,RUNNING,0
48.0,0,48.0,RUNNING,0
48.06,0,48.06,RUNNING,0
48.13,0,48.13,RUNNING,0
48.19,0,48.19,RUNNING,0
48.26,0,48.26,RUNNING,0
48.33,0,48.33,RUNNING,0
48.39,0,48.39,RUNNING,0
48.46,0,48.46,RUNNING,0
48.53,0,48.53,RUNNING,0
48.59,0,48.59,RUNNING,0
48.66,0,48.66,RUNNING,0
48.72,0,48.72,RUNNING,0
48.79,0,48.79,RUNNING,0
48.87,0,48.87,RUNNING,0
48.95,0,48.95,RUNNING,0
49.03,0,49.03,RUNNING,0
49.1,0,49.1,RUNNING,0
49.17,0,49.17,RUNNING,0
49.26,0,49.26,RUNNING,0
49.33,0,49.33,RUNNING,0
49.4,0,49.4,RUNNING,0
49.46,0,49.46,RUNNING,0
49.53,0,49.53,RUNNING,0
49.6,0,49.6,RUNNING,0
49.66,0,49.66,RUNNING,0
49.73,0,49.73,RUNNING,0
49.8,0,49.8,RUNNING,0
49.86,0,49.86,RUNNING,0
49.93,0,49.93,RUNNING,0
50.0,0,50.0,RUNNING,0
